,pearson_corr,p_val2
UPDRS III _Alpha_channel88,-0.3968866588089808,0.08316093244611704
Apathy_Beta_channel3,0.3964330002208991,0.08354596713648342
mH&Y_Gamma_channel19,-0.3959437895588087,0.08396265170822051
mH&Y_Theta_channel57,-0.3958110129627399,0.08407600860369778
UPDRS III _Gamma_channel20,-0.39573787586256,0.08413849707997331
mH&Y_Alpha_channel57,-0.3951146415039335,0.08467238305232158
Apathy_Gamma_channel13,0.3949857367328625,0.0847831193398426
UPDRS III _Delta_channel36,-0.394587120148852,0.08512622979882964
UPDRS III _Alpha_channel21,-0.39441457734880103,0.08527506407802375
UPDRS III _Beta_channel73,-0.3939175371295882,0.08570488154185002
UPDRS III _Gamma_channel58,-0.3939120273064682,0.08570965512530186
UPDRS III _Delta_channel31,0.3938769132894111,0.08574008170852718
MoCA corretto_Beta_channel15,-0.39364692030415777,0.08593956963860322
UPDRS III _Alpha_channel103,-0.39362727061968306,0.08595662895789563
MoCA corretto_Gamma_channel94,0.3929178339022466,0.08657421754299663
UPDRS III _Theta_channel51,-0.39019767420355067,0.0889725566834609
mH&Y_Alpha_channel76,-0.38969794992799106,0.08941842024399424
UPDRS III _Beta_channel110,-0.3896848959229691,0.08943008925682429
UPDRS III _Delta_channel55,-0.38968004254651223,0.08943442798964274
mH&Y_Gamma_channel18,-0.3891166188235508,0.08993916007069558
mH&Y_Theta_channel83,-0.389073688612398,0.08997770392095333
Apathy_Alpha_channel47,0.3890498602635832,0.08999910286590423
mH&Y_Delta_channel89,-0.38903655030159495,0.09001105744751736
MoCA corretto_Delta_channel14,-0.3888423129773275,0.09018564801710256
UPDRS III _Alpha_channel112,-0.3886677425785443,0.09034277316885102
UPDRS III _Beta_channel61,-0.3884277008966285,0.09055915522825336
mH&Y_Gamma_channel83,-0.3878025032016178,0.09112451748535687
UPDRS III _Theta_channel75,-0.3876460671612968,0.09126638604019877
UPDRS III _Delta_channel85,-0.3876252397607964,0.0912852861958894
MoCA corretto_Delta_channel35,-0.3874820110218775,0.09141533922541621
UPDRS III _Delta_channel59,-0.3873111577219256,0.09157065343932885
BDI_Alpha_channel67,0.38713773609967383,0.09172850035929328
Apathy_Gamma_channel7,0.3868654349873272,0.09197674933200199
MoCA corretto_Delta_channel86,-0.38663962466329416,0.09218298758154883
MoCA corretto_Theta_channel35,-0.38636651321996535,0.09243288013236842
MoCA corretto_Gamma_channel36,-0.386182987083118,0.09260108242546988
MoCA corretto_Alpha_channel15,-0.3853994769838347,0.09332169694250306
BDI_Alpha_channel107,0.3850418833077113,0.09365194719912205
UPDRS III _Gamma_channel87,-0.38445132879014005,0.09419921805798415
Apathy_Delta_channel7,0.38417764982706143,0.09445363063193726
UPDRS III _Gamma_channel56,-0.38414594795903995,0.09448313323021776
mH&Y_Beta_channel64,-0.383917233017284,0.09469618131820952
UPDRS III _Beta_channel64,-0.38272642192676587,0.09581110602493528
UPDRS III _Theta_channel55,-0.3827118969783903,0.09582476431585799
MoCA corretto_Gamma_channel12,-0.3818287088693939,0.09665793270423925
MoCA corretto_Alpha_channel5,-0.38155679760620625,0.09691550627638021
mH&Y_Beta_channel17,-0.38152088485635527,0.0969495628092381
Apathy_Beta_channel35,0.3812406405502993,0.09721562243192285
