,OR,log_OR,p-value,2.5%,97.5%
Theta_channel95,1.0000223433368196,2.234308721087644e-05,0.45321031832608627,0.9999639606121109,1.0000807294701937
Delta_channel34,1.0000163893865919,1.638925228742357e-05,0.6671622161148122,0.9999416958079451,1.0000910885446948
Beta_channel103,1.0000151996076299,1.519949211693865e-05,0.9305932435302423,0.9996732209637291,1.0003572952391524
Theta_channel101,1.0000135129639285,1.3512872629302687e-05,0.8286027107697098,0.9998911840169248,1.0001358568769323
Delta_channel85,1.000013053868987,1.3053783786107443e-05,0.8199781432271133,0.9999006335381571,1.0001254868394038
Theta_channel97,1.000012716388235,1.271630738240164e-05,0.745608209713373,0.9999358972664297,1.000089541411596
Alpha_channel106,1.0000126416356214,1.2641555716626536e-05,0.8165080155711575,0.9999058663754812,1.0001194282977912
Alpha_channel14,1.000008179447457,8.179414005304393e-06,0.976542787884505,0.9994631041037937,1.0005535520578515
Alpha_channel85,1.0000049789207774,4.978908382753298e-06,0.9701421680069208,0.9997442986464877,1.0002657271666533
Alpha_channel105,1.0000044147173752,4.414707630435771e-06,0.9165025939997249,0.9999218858080874,1.0000869504382162
Delta_channel52,1.0000040502278589,4.050219656642955e-06,0.9704081986564196,0.9997900811475506,1.000218065100547
Delta_channel70,1.0000037086233495,3.7086164726072582e-06,0.976555681741267,0.9997563951014735,1.0002510833241072
Alpha_channel108,1.000003653799096,3.6537924208367738e-06,0.8947457488828482,0.9999495264538194,1.00005778407429
Theta_channel103,1.0000010337702143,1.0337696800858661e-06,0.9846779151144841,0.9998955356009904,1.000106543070465
Beta_channel108,1.0000009442516633,9.442512175509214e-07,0.9923668220241203,0.9998075150244452,1.0001944109009506
Alpha_channel91,1.0000007486595974,7.48659317115556e-07,0.9936261154474859,0.9998170846699606,1.0001844463878666
Delta_channel95,1.0000006469130112,6.469128019307834e-07,0.9740585898509558,0.9999616567010023,1.000039638645315
Alpha_channel78,0.9999997139487068,-2.8605133415841196e-07,0.9952176479539618,0.9999061803700043,1.0000932562767604
Theta_channel91,0.9999990374442297,-9.625562335224415e-07,0.989975763045661,0.9998488898114163,1.000149207624762
Alpha_channel99,0.9999983941850354,-1.6058162538276631e-06,0.9796731140687052,0.9998748737977002,1.0001219298315662
Alpha_channel89,0.9999982873977411,-1.7126037253793388e-06,0.9455602519893098,0.9999491309911156,1.000047446220842
Delta_channel66,0.9999976554176104,-2.344585138093134e-06,0.9673437943876868,0.999885416946604,1.000109906487535
Theta_channel108,0.999994860178649,-5.139834559875311e-06,0.8467156623270913,0.9999427493674791,1.000046973705511
Alpha_channel93,0.9999943697241808,-5.630291669251398e-06,0.9466650631230764,0.9998294224353654,1.000159344225246
Theta_channel85,0.9999925475351511,-7.452492618663177e-06,0.9393372790010929,0.9998006347731707,1.0001844971349838
Alpha_channel115,0.999991692896224,-8.307138280180274e-06,0.8124984417334351,0.9999230558170972,1.000060334686762
Alpha_channel109,0.9999906760364309,-9.324007037484205e-06,0.7424319367959022,0.9999350700753875,1.000046285089698
Theta_channel106,0.9999903233211346,-9.676725684750572e-06,0.8618796167157791,0.9998813188393765,1.00009933968628
Theta_channel105,0.9999887354467176,-1.1264616727962173e-05,0.799342566293941,0.9999018856983842,1.00007559273867
Theta_channel89,0.9999880579298758,-1.194214143126796e-05,0.6617298321424783,0.9999345633839197,1.0000415553376856
Theta_channel93,0.9999870662606034,-1.2933823038167963e-05,0.8564261464331605,0.999846965830671,1.0001271863216705
Beta_channel109,0.9999870498890244,-1.295019482898592e-05,0.8880447845967474,0.999806771892223,1.0001673603922632
Theta_channel99,0.9999867519411535,-1.324814660277301e-05,0.8139107901533771,0.9998764465405277,1.0000970695105644
Theta_channel78,0.9999863524462919,-1.3647646836882591e-05,0.7943450227718851,0.9998837441852148,1.0000889712370482
Delta_channel97,0.9999848555036417,-1.5144611037312793e-05,0.6396594699280602,0.9999214571940016,1.0000482578329433
Delta_channel89,0.999984827676967,-1.5172438133905783e-05,0.5337461153705982,0.9999370430405936,1.0000326145968554
Delta_channel75,0.9999821809374304,-1.7819221330983384e-05,0.6257084077057122,0.9999105842438317,1.000053782757574
Theta_channel115,0.9999812063981766,-1.8793778425354843e-05,0.5949237856299281,0.9999119339511527,1.000050483644295
Alpha_channel88,0.9999799296256001,-2.007057581258463e-05,0.3629934442090179,0.9999366878901578,1.0000231732310085
Delta_channel12,0.9999798981592654,-2.0102042779353683e-05,0.8107218915615806,0.9998154050698246,1.0001444183116783
Delta_channel36,0.9999796517538478,-2.0348453180556445e-05,0.6823881066330268,0.999882196121938,1.0000771168844769
Delta_channel88,0.9999793950432714,-2.060516901370271e-05,0.3943295046928711,0.9999319848820651,1.0000268074523537
Delta_channel109,0.9999791096293821,-2.089058882473761e-05,0.22515230590879398,0.999945354278645,1.0000128661196053
Delta_channel108,0.9999778308357095,-2.2169410030134307e-05,0.24600170072780525,0.9999403781333137,1.0000152849408936
Alpha_channel104,0.9999774206779222,-2.257957699457103e-05,0.600901251351923,0.9998928252440377,1.0000620232689612
Alpha_channel114,0.999976487869931,-2.3512406483501323e-05,0.5643757194478618,0.9998965361055433,1.0000564460272647
Theta_channel109,0.9999758972202217,-2.410307025490577e-05,0.37432687951857435,0.9999227242362029,1.0000290730318253
Alpha_channel12,0.9999741156754465,-2.5884659558411625e-05,0.8906981996227148,0.99960501341495,1.0003433542262545
Theta_channel104,0.9999730367222208,-2.6963641294864593e-05,0.5414701763350334,0.9998864910197081,1.0000595899157425
Theta_channel94,0.99997217734996,-2.782303709703653e-05,0.33950755967851287,0.9999150871318675,1.0000292708276224
Beta_channel91,0.9999718407167127,-2.8159679767301394e-05,0.909021997435517,0.999488984302778,1.0004549304001684
Alpha_channel94,0.9999709717214914,-2.9028699837200365e-05,0.38440914081705346,0.9999055640121031,1.0000363837094524
Delta_channel51,0.999970632273434,-2.9368157806157472e-05,0.5975568377871283,0.9998616081530981,1.000079668281674
Alpha_channel75,0.9999692774735663,-3.072299838018709e-05,0.6568099298062804,0.9998337674941278,1.0001048058190125
